,id,name,mpn,url_1,price_1,old_price_1,currency_1,info,cpu_type_1,cpu_implementation_1,cpu_number_of_cores_1,display_size__inch_1,memory_ram__gb_1,storage_type_1,storage_capacity__gb_1,design_color_name_1,general_year_1,url_2,url_3,url_4,price_2,old_price_2,currency_2,price_3,old_price_3,currency_3,price_4,old_price_4,currency_4,url_5,url_6,url_7,price_5,old_price_5,currency_5,price_6,old_price_6,currency_6,url_8,url_9,url_10,url_11,price_7,old_price_7,currency_7,price_8,old_price_8,currency_8,price_9,old_price_9,currency_9,url_12,price_10,old_price_10,currency_10
4058,2777,Acer Travelmate P4 TMP414,NX.VPAEH.006,https://azerty.nl/product/acer-travelmate-p4-tmp414-51-scharnier-180-graden/4754479,1023.54,,EUR,Intel® Core™ i5 - i5-1135G7 - 4 cores - 14 inch - 16GB - 512GB SSD - Slate Blue - NX.VPAEH.006,Intel® Core™ i5,i5-1135G7,4,14,16,SSD,512,Slate Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4059,1488,HP Elite Folio LPDDR4-Sdram Hybrid,3G2M2EA#ABH,https://www.bol.com/be/nl/p/hp-elite-folio-lpddr4-sdram-hybride-34-3-cm-1920-x-1280-pixels-touchscreen-qualcomm-snapdragon-processor-16-gb-512-gb-ssd-wi-fi-5-windows-10-pro-zwart/9300000042364507/,929,949,EUR,2021 - Qualcomm Snapdragon - 8CX - 8 cores - 13.5 inch - 16GB - 512GB SSD - Black - 3G2M2EA#ABH,Qualcomm Snapdragon,8CX,8,13.5,16,SSD,512,Black,2021,https://azerty.nl/product/hp-elite-folio-notebook-uitschuifbaar/4519147,,,2367.25,2363.3,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4060,7063,Acer Aspire 3 A314-22-R1EK,NX.A0WEH.00H,https://www.bol.com/be/nl/p/acer-notebook-aspire-3-a314-22-r1ek/9300000073709625/,499.41,550,EUR,AMD Ryzen 3 - ja - 14 inch - 8GB - 256GB - 256GB SSD - black - NX.A0WEH.00H,AMD Ryzen 3,ja,,14,8,SSD,256,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4061,7047,Asus X515EA-BQ3081,X515EA-BQ3081,https://www.bol.com/be/nl/p/asus-x515ea-bq3081-15-6-full-hd-i5-1135g7-8gb-512-ssd-windows-11-pro/9300000135591361/,599,555.99,EUR,Intel Core i5 - 1135G7 - 4 cores - 15.6 inch - 8GB - 512GB - 512GB SSD - Gray - X515EA-BQ3081,Intel Core i5,1135G7,4,15.6,8,SSD,512,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4062,2775,Acer Travelmate P2 TMP215,NX.VPREH.01B,https://azerty.nl/product/acer-travelmate-p2-tmp215-53-intel-core-i3-1115g4/4754431,629.08,619.9,EUR,Intel Core i3 - i3-1115G4 - 2 cores - 15.6 inch - 8GB - 256GB - 256GB SSD - Black - NX.VPREH.01B,Intel Core i3,i3-1115G4,2,15.6,8,SSD,256,Black,,https://www.bol.com/be/nl/p/acer-travelmate-p2-tmp215-53-3242-black-15-6-fhd-i3-1115g4-8gb-256gb-ssd-uhd-graphics-for-11th-gen-intel-wi-fi-6ax-201-bt-5-48-wh-battery-w10p-qwerty/9300000069017936/,,,599,699,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4063,2793,Acer Aspire A515-45-R99G,NX.A83EH.006,https://www.bol.com/be/nl/p/acer-aspire-a515-45-r99g-ryzen-5-5500u-16gb-512gb-ssd-windows-11/9300000095717851/,690,691.55,EUR,AMD Ryzen 5 - 5500U - 15.6 inch - 16GB - 512GB SSD - Black - NX.A83EH.006,AMD Ryzen 5,5500U,,15.6,16,SSD,512,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4064,1528,HP Chromebook 14 G7,3V475EA#ABH,https://www.bol.com/be/nl/p/hp-chromebook-14-g7/9300000040170492/,698.9,661.6,EUR,2021 - Intel® Celeron® - N5100 - 4 cores - 14 inch - 8GB - 64GB eMMC - Black - 3V475EA#ABH,Intel® Celeron®,N5100,4,14,8,eMMC,64,Black,2021,https://azerty.nl/product/hp-chromebook-14-g7-intel-celeron-n5100/4564235,,,572.95,562.95,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4065,3977,Microsoft Surface 4,LBJ-00054,https://azerty.nl/product/microsoft-surface-laptop-4-intel-core-i5-1145g7/4708254,1235,1231,EUR,Intel Core i5 - i5-1145G7 - 4 cores - 13.5 inch - 8GB - 512GB - 512GB SSD - Platinum - LBJ-00054,Intel Core i5,i5-1145G7,4,13.5,8,SSD,512,Platinum,,https://www.bol.com/be/nl/p/microsoft-surface-laptop-4-i5-1145g7-notebook-34-3-cm-touchscreen-intel-core-i5-8-gb-lpddr4x-sdram-512-gb-ssd-wi-fi-6-windows-11-pro-platina/9300000096958903/,,,,1237,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4066,1489,Lenovo Ideapad Flex 3 LPDDR3-Sdram,82HG0008MH,https://www.bol.com/be/nl/p/lenovo-ideapad-flex-3-lpddr3-sdram-chromebook-11-6-inch/9300000024760254/,347,,EUR,MediaTek - MT8173C - 4 cores - 11.6 inch - 4GB - 64GB eMMC - Platinum Grey - 82HG0008MH,MediaTek,MT8173C,4,11.6,4,eMMC,64,Platinum Grey,,https://azerty.nl/product/lenovo-ideapad-flex-3-cb-11m735-82hg-draaibaar-design/4431721,https://devices-api-prd.s3.eu-west-3.amazonaws.com/4678d99f62fd7b93ea52635b55bbed4b.jpg,,352.95,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4067,7076,HP EliteBook x360-1040 G5,EliteBookX360-1040G5,https://www.bol.com/be/nl/p/hp-elitebook-x360-1040-g5-35-6-cm-full-hd-touchscreen-intel-core-i5-8-gb-ram-256-gb-ssd-windows-10-professional/9300000140081680/,699,,EUR,Intel Core i5 - Core i5-8350U - 14 inch - 8GB - 256GB - 256GB SSD - zi;ver - EliteBookX360-1040G5,Intel Core i5,Core i5-8350U,,14,8,SSD,256,zi;ver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
